Molecule Name,SMILES,rdkit_smiles,PUBCHEM_CID,"alquist--24 hours 10 uM screen, 1A and 2B: 1A (OD)","alquist--24 hours 10 uM screen, 1A and 2B: 2B (OD)","alquist--24 hours 1 uM screen, 1A and 2B: 1A (OD)","alquist--24 hours 1 uM screen, 1A and 2B: 2B (OD)",alquist--KBA01: 1A % negative control (%),alquist--KBA01: 2B % negative control (%),hoskins--AFUMSF3B1: OD600 % negative control (%),hull--10h Germination-FDA 4 plates: NanoLuc % negative control (%),hull--10h Germination-FDA 4 plates: OD600 % negative control (%),hull--12h Yeast 9-30-16: OD600 % negative control (%),hull--22h Germination 10-6-16: OD600 % inhibition (%),hull--22h Germination 10-6-16: OD600 % negative control (%),hull--22h Germination 9-30-16: OD600 % inhibition (%),hull--22h Germination 9-30-16: OD600 % negative control (%),hull--OD600 measurement: OD600,hull--Selleck-FDA: Nano Glo (LUC),hull--Selleck-FDA for yeast construct: Nano Glo (LUC),hull--Copy of Selleck-FDA-1 for 06-2015 NanoLuc+OD: Nano Glo (LUC),hull--Copy of Selleck-FDA-1 for 06-2015 NanoLuc+OD: OD600,keck--AlphaScreen KpnDnaG: Intensity (Counts),keck--AlphaScreen KpnPriA: Intensity (Counts),keck--FDA primary screen: OD600 % negative control (%),keck--FP KpnDnaG: FP (mP),keck--FP KpnPriA: FP (mP),keck--KpnPriA Alphascreen - AV: Intensity % negative control (%),senes--Alpha screen raw: Alpha (Rlu),xing--MTDH-SND1 for FDA: RATIO
SMSSF-0066005,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,84029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066006,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,5311309,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066008,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,3324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066010,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,5358,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0066011,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,135398745,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066013,COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,3949,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066015,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,135409400,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066017,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1549008,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0066019,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,65833,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
SMSSF-0066021,C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,5462501,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMSSF-0066023,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,51081,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
