"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
58 0.652747252747253 0.644819466248038 0.646232339089482 0.646232339089482 0.655651491365777 0.649764521193093 0.614913657770801 0.619623233908948 0.619623233908948 0.624018838304553 0.624646781789639 0.628963893249608 0.628963893249608 0.628963893249608
59 NA 0.663608562691131 0.667176350662589 0.667176350662589 0.678899082568807 0.689092762487258 0.698267074413863 0.683995922528033 0.683995922528033 0.683995922528033 0.683995922528033 0.68960244648318 0.695208970438328 0.695208970438328
60 NA 0.825858064516129 0.820438709677419 0.820438709677419 0.826270967741935 0.818993548387097 0.818941935483871 0.817548387096774 0.817548387096774 0.817548387096774 0.817548387096774 0.819716129032258 0.824309677419355 0.824309677419355
61 0.933026258279259 0.943616985509195 0.943616985509195 0.934539219312107 0.934539219312107 0.934808190162391 0.933967656255253 0.933194365060687 0.933194365060687 0.931076219614699 0.931076219614699 0.931849510809266 0.931849510809266 0.936959956964664
62 NA 0.8193804167435 0.8193804167435 0.8193804167435 0.817536418956297 0.820855614973262 0.82647980822423 0.792550248939701 0.792550248939701 0.78489765812281 0.78489765812281 0.787294855246174 0.79153605015674 0.79153605015674
63 0.961808624459227 0.946550681490441 0.946550681490441 0.938037865748709 0.938037865748709 0.938223938223938 0.938223938223938 0.939293854956506 0.939293854956506 0.938596083174396 0.938596083174396 0.938247197283342 0.94348048564916 0.94092198911476
64 0.931572173105733 0.897157808115122 0.897157808115122 0.892178169771907 0.885468318106049 0.886016922330302 0.893507480007596 0.894435887156331 0.894435887156331 0.889477348975587 0.889477348975587 0.891861667334839 0.891861667334839 0.912349925094423
65 NA 0.91833281266271 0.912319066958242 0.912319066958242 0.909325210871603 0.912110798708737 0.896360512339894 0.895813808184942 0.895813808184942 0.897453920649797 0.912995938769135 0.91192856399042 0.91192856399042 0.91192856399042
66 0.715450310559006 0.757375776397516 0.757375776397516 0.757375776397516 0.765916149068323 0.761257763975155 0.722049689440994 0.724767080745342 0.724767080745342 0.724767080745342 0.724767080745342 0.725931677018633 0.730201863354037 0.730201863354037
67 0.87097957686193 0.820227467286291 0.816191757368228 0.816191757368228 0.816191757368228 0.819004524886878 0.820227467286291 0.813868166809343 0.813868166809343 0.815580286168522 0.815580286168522 0.819371407606702 0.82389629448453 0.82389629448453
68 NA 0.892651757188498 0.892651757188498 0.892651757188498 0.881682641107561 0.88604898828541 0.890841320553781 0.868370607028754 0.868370607028754 0.868370607028754 0.868370607028754 0.866347177848775 0.866347177848775 0.866347177848775
69 0.857554801670146 0.858311586638831 0.862421711899791 0.862421711899791 0.854527661795407 0.856732776617954 0.853327244258873 0.848094989561587 0.848094989561587 0.859720772442589 0.859720772442589 0.864757306889353 0.858442066805846 0.858442066805846
70 0.871198066003261 0.845804988662131 0.846367197016548 0.846367197016548 0.846367197016548 0.845823728940612 0.8502651749405 0.851595734712618 0.851595734712618 0.844736792788741 0.844736792788741 0.847041847041847 0.848953355446862 0.848953355446862
71 0.990580847723705 NA NA NA 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421 0.992150706436421
72 0.941527272727273 0.937309090909091 0.937309090909091 0.937309090909091 0.940509090909091 0.942836363636364 0.943127272727273 0.924072727272727 0.924072727272727 0.924072727272727 0.924072727272727 0.925236363636364 0.925236363636364 0.925236363636364
