"Assay" "rocauc_1" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
34 NA 0.595490238455443 0.590519415027736 0.590519415027736 0.601757798429508 0.842590591455947 0.697139975506087 0.697139975506087 0.697139975506087 0.643253367912975 0.643253367912975 0.643253367912975 0.605720048987825 0.586701246307903 0.461205964988113
35 0.952360876897133 0.952360876897133 0.952380039858961 0.952380039858961 0.952954928713782 0.971523838724513 0.971523838724513 0.967097194542389 0.967173846389698 0.967365476007972 0.967365476007972 0.967250498237007 0.967557105626246 0.967576268588073 0.9675954315499
36 0.9417103311913 0.9417103311913 0.940761245674741 0.940761245674741 0.940741473059812 0.971586752347998 0.971586752347998 0.967711319822047 0.967118141374197 0.967118141374197 0.967118141374197 0.96707859614434 0.967118141374197 0.967118141374197 0.967770637666831
37 NA 0.723146747352496 0.701126239704152 0.701126239704152 0.706253151790217 0.889645318540931 0.774836106908724 0.774836106908724 0.774836106908724 0.774836106908724 0.774836106908724 0.774836106908724 0.738863674567154 0.738863674567154 0.684568835098336
38 NA 0.831854229607251 0.827133685800604 0.827133685800604 0.8360083081571 0.825151057401813 0.797960725075529 0.797960725075529 0.797960725075529 0.907382930513595 0.907382930513595 0.907382930513595 0.862254531722054 0.844882930513595 0.832703927492447
39 0.919850868081318 0.919850868081318 0.918088737201365 0.918088737201365 0.917810506009794 0.958599198694168 0.958599198694168 0.95019661670871 0.949232081911263 0.949621605579463 0.949621605579463 0.949213533165158 0.948619973289806 0.948619973289806 0.95101276153732
40 0.969927613370236 0.969927613370236 0.968596976793698 0.968596976793698 0.968543751330637 0.97248243559719 0.972642111986374 0.972642111986374 0.966414732808175 0.966042154566745 0.967053438364914 0.966946987438791 0.967080051096444 0.967665531190121 0.968384074941452
41 0.981433544586272 0.981433544586272 0.981433544586272 0.981433544586272 0.981433544586272 0.981433544586272 0.981433544586272 0.961081853075069 0.971346960635544 0.94563956083192 0.876193876640186 0.876193876640186 0.854860305275373 0.837097206105507 0.837097206105507
42 NA NA 0.93282554831605 0.93282554831605 0.935349178673029 0.893869872441956 0.943333027438745 0.943333027438745 0.943333027438745 0.943333027438745 0.943333027438745 0.943333027438745 0.93282554831605 0.943378911627053 0.933651463705607
43 NA NA 0.836978381096028 0.836978381096028 0.842634489693313 0.767848164906988 0.693061840120664 0.693061840120664 0.693061840120664 0.693061840120664 0.693061840120664 0.693061840120664 0.688662644544997 0.64429361488185 0.631850175967823
44 NA 0.840081853012888 0.826236502960641 0.826236502960641 0.830590386624869 0.87251828631139 0.794714385231627 0.794714385231627 0.794714385231627 0.885884709160571 0.885884709160571 0.885884709160571 0.882445141065831 0.876785092302334 0.880355276907001
45 NA 0.772407407407407 0.775246913580247 0.775246913580247 0.775617283950617 0.775 0.739320987654321 0.739320987654321 0.739320987654321 0.758024691358025 0.758024691358025 0.758024691358025 0.743333333333333 0.715493827160494 0.682654320987654
46 NA 0.5270473574045 0.507914704343276 0.507914704343276 0.497056514913658 0.51455389848247 0.548240450026164 0.548240450026164 0.548240450026164 0.548076923076923 0.548076923076923 0.548076923076923 0.548076923076923 0.557103610675039 0.557103610675039
47 NA 0.95969278399619 0.961240771612289 0.961240771612289 0.961300309597523 0.956715884734461 0.939688020957371 0.939688020957371 0.939688020957371 0.958323410335794 0.958323410335794 0.958323410335794 0.958085258394856 0.941652774470112 0.941652774470112
48 0.926337191116672 0.93984985924304 0.943181107288083 0.943181107288083 0.943321864247732 0.94416640600563 0.94416640600563 0.933453237410072 0.931889271191742 0.932358461057241 0.932358461057241 0.932561776665624 0.932514857679074 0.932374100719425 0.932452299030341
49 NA NA 0.48839252682205 0.48839252682205 0.467998520162782 0.506659267480577 0.506659267480577 0.506659267480577 0.506659267480577 0.51590825009249 0.51590825009249 0.51590825009249 0.51590825009249 0.51590825009249 0.51590825009249
50 NA NA 0.940225563909774 0.940225563909774 0.942481203007519 0.918045112781955 0.789473684210526 0.789473684210526 0.789473684210526 0.789473684210526 0.789473684210526 0.789473684210526 0.775187969924812 0.707518796992481 0.683082706766917
51 0.887148309221621 0.887148309221621 0.884707553030975 0.884707553030975 0.88495162865004 0.923160557379959 0.926422295198367 0.926422295198367 0.919410668323422 0.920031951717405 0.920031951717405 0.920852933345167 0.922051122747848 0.922051122747848 0.921585160202361
