"cid","clust"
"CID_5288783",6
"CID_5311217",5
"CID_5324346",1
"CID_5360515",6
"CID_5388962",5
"CID_54260",2
"CID_54671008",1
"CID_5487",11
"CID_5591",6
"CID_5641",9
"CID_5720",5
"CID_5816",3
"CID_5819",3
"CID_5902",5
"CID_5910",8
"CID_59227",4
"CID_5977",19
"CID_6034",1
"CID_6083",16
"CID_60855",13
"CID_6288",7
"CID_6322",7
"CID_638034",6
"CID_6503",9
"CID_65492",13
"CID_65958",4
"CID_688561",3
"CID_68873",6
"CID_6918493",5
"CID_700",9
"CID_71157",1
"CID_71277",6
"CID_71335",4
"CID_71485",16
"CID_7151",1
"CID_71916",3
"CID_73303",16
"CID_750",7
"CID_7638",3
"CID_77993",4
"CID_785",3
"CID_8567",13
"CID_8798",10
"CID_8969",4
"CID_9330",5
"CID_9509",1
"CID_967",3
"CID_985",7
"CID_1054",10
"CID_121396",7
"CID_26618",3
"CID_2787",1
"CID_29327",13
"CID_3081",15
"CID_33624",2
"CID_3604",14
"CID_370",3
"CID_4059",5
"CID_4855",4
"CID_4913",1
"CID_5042",1
"CID_5143",5
"CID_5311454",3
"CID_5343",11
"CID_54679224",3
"CID_66826",3
"CID_91670",6
"CID_11808",8
"CID_1269845",10
"CID_14130",1
"CID_179651",6
"CID_2264",2
"CID_3314",3
"CID_3778",5
"CID_441130",16
"CID_441328",16
"CID_443872",6
"CID_5054",3
"CID_5095",6
"CID_5258",5
"CID_5282136",2
"CID_5483",7
"CID_60651",4
"CID_60857",4
"CID_616236",3
"CID_65632",7
"CID_68310",3
"CID_71668",3
"CID_8089",18
"CID_5576",15
"CID_1176",9
"CID_4915",1
"CID_449215",15
"CID_5280489",6
"CID_444036",6
"CID_5029",11
"CID_5280723",7
"CID_5462501",5
