"cid","clust"
"CID_5311217",4
"CID_5324346",3
"CID_5360515",6
"CID_5388962",4
"CID_54260",4
"CID_5452",5
"CID_54671008",2
"CID_54676038",3
"CID_5475",3
"CID_5487",5
"CID_55283",11
"CID_5591",6
"CID_5641",10
"CID_5720",3
"CID_5794",4
"CID_5816",3
"CID_5819",16
"CID_5902",3
"CID_5910",4
"CID_59227",4
"CID_5977",21
"CID_5978",4
"CID_60164",4
"CID_6034",3
"CID_6083",4
"CID_60855",8
"CID_6288",16
"CID_6300",6
"CID_6322",16
"CID_638034",6
"CID_6433119",5
"CID_6503",9
"CID_65492",8
"CID_65628",3
"CID_65947",4
"CID_65948",4
"CID_65958",4
"CID_681",3
"CID_688561",3
"CID_68865",3
"CID_68873",6
"CID_6918493",3
"CID_700",9
"CID_71157",4
"CID_71277",6
"CID_71310",2
"CID_71335",4
"CID_71353",3
"CID_71360",4
"CID_71485",8
"CID_7151",2
"CID_71916",3
"CID_73303",4
"CID_750",16
"CID_7638",3
"CID_77993",4
"CID_785",3
"CID_82146",3
"CID_82148",3
"CID_83969",3
"CID_8567",8
"CID_8798",2
"CID_8969",4
"CID_9270",6
"CID_9330",3
"CID_9509",2
"CID_967",3
"CID_9681",4
"CID_985",16
"CID_1054",2
"CID_107641",3
"CID_119369",4
"CID_121396",16
"CID_248",10
"CID_26618",2
"CID_2787",3
"CID_29327",8
"CID_3081",6
"CID_33624",4
"CID_3604",10
"CID_370",3
"CID_4059",3
"CID_4855",4
"CID_4913",2
"CID_5042",5
"CID_5143",3
"CID_5311454",3
"CID_5343",2
"CID_54679224",5
"CID_66826",2
"CID_91670",6
"CID_11808",11
"CID_1269845",2
"CID_14130",3
"CID_179651",6
"CID_2264",5
"CID_3314",3
"CID_3778",3
"CID_441130",4
"CID_441328",7
"CID_443872",6
"CID_5054",3
"CID_5095",4
"CID_5258",3
"CID_5282136",1
"CID_5483",16
"CID_60651",4
"CID_60857",4
"CID_616236",3
"CID_65632",7
"CID_68310",16
"CID_71668",3
"CID_77999",3
"CID_8089",18
"CID_1130",2
"CID_134019",2
"CID_135459219",3
"CID_135823198",4
"CID_145742",7
"CID_157922",16
"CID_2155",2
"CID_21786118",3
"CID_2450",21
"CID_3338",3
"CID_3636249",13
"CID_3968000",10
"CID_40468194",6
"CID_4494",4
"CID_452306",8
"CID_4668904",21
"CID_50259",3
"CID_5310993",2
"CID_53315055",2
"CID_5497",2
"CID_5576",6
"CID_5960",16
"CID_5962",16
"CID_5966",3
"CID_6082",3
"CID_6137",16
"CID_6262",16
"CID_6267",16
"CID_6287",16
"CID_6426740",4
"CID_71113",16
"CID_7567277",13
"CID_9458",3
"CID_10377",3
"CID_11243969",12
"CID_11579",16
"CID_1176",9
"CID_13849",16
"CID_14709",6
"CID_14982",6
"CID_156391",3
"CID_20653",16
"CID_2140",16
"CID_244",3
"CID_25051",4
"CID_342",3
"CID_37768",8
"CID_40000",6
"CID_4133",3
"CID_439250",6
"CID_439260",3
"CID_440967",6
"CID_442495",6
"CID_444539",3
"CID_4837",15
"CID_4915",3
"CID_516871",22
"CID_517044",21
"CID_517326",21
"CID_5280360",12
"CID_5280450",16
"CID_5280795",6
"CID_5280965",6
"CID_5311037",3
"CID_5311066",6
"CID_5355130",3
"CID_5922",2
"CID_6049",16
"CID_6101",2
"CID_62277",7
"CID_6336",11
"CID_637563",3
"CID_6506",10
"CID_65399",4
"CID_6557",17
"CID_656583",6
"CID_6917655",12
"CID_71645",3
"CID_7410",3
"CID_7463",3
"CID_7489",3
"CID_757",16
"CID_7955",2
"CID_8617",3
"CID_971",16
"CID_16129778",4
"CID_16850",3
"CID_26041",3
"CID_4171",3
"CID_5311110",8
"CID_56208",4
"CID_2540",1
"CID_101616",4
"CID_10831",3
"CID_1103",9
"CID_11092",3
"CID_12555",3
"CID_130881",3
"CID_135400189",1
"CID_135409400",5
"CID_14190",2
"CID_14969",4
"CID_1548955",3
"CID_15541",6
"CID_15940185",4
"CID_167945",8
"CID_187",10
"CID_19009",1
"CID_1978",3
"CID_1993",10
"CID_2017",2
"CID_2031",3
"CID_2146",9
"CID_2160",3
"CID_2178",2
"CID_22530",5
"CID_2267",5
"CID_2327",3
"CID_2335",3
"CID_2353",4
"CID_2366",2
"CID_237",5
"CID_2370",10
"CID_2405",3
"CID_2407",5
"CID_2442",4
"CID_2467",4
"CID_2551",10
"CID_2563",3
"CID_2564",5
"CID_2681",10
"CID_2683",10
"CID_26879",5
"CID_26987",5
"CID_2719",5
"CID_2725",5
"CID_2749",4
"CID_2764",4
"CID_27661",19
"CID_2784",4
"CID_2805",5
"CID_2881",3
"CID_2895",3
"CID_2968",10
"CID_2995",5
"CID_3005573",3
"CID_3025961",3
"CID_3032",3
"CID_3052",7
"CID_3103",5
"CID_3152",4
"CID_3162",3
"CID_3166",4
"CID_3180",3
"CID_3202",3
"CID_33032",16
"CID_3343",3
"CID_3344",5
"CID_3406",2
"CID_3414",21
"CID_3450",3
"CID_3468",3
"CID_3474",5
"CID_3494",4
"CID_3518",7
"CID_3519",3
"CID_3520",9
"CID_36294",8
"CID_3637",2
"CID_3652",5
"CID_3654103",5
"CID_3678",3
"CID_3762",3
"CID_38081",2
"CID_3826",4
"CID_3869",3
"CID_3913",5
"CID_3948",4
"CID_3964",5
"CID_3998",2
"CID_4031",3
"CID_4034",5
"CID_4039",5
"CID_40580588",6
"CID_4062",4
"CID_4077",13
"CID_4086",3
"CID_4139",2
"CID_4178",3
"CID_41867",4
"CID_4195",3
"CID_4199",5
"CID_4221449",2
"CID_4260",3
"CID_4369359",4
"CID_4380",5
"CID_439378",16
"CID_441289",12
"CID_442872",6
"CID_4436",5
"CID_4450",4
"CID_4456",3
"CID_445643",6
"CID_446727",4
"CID_449215",6
"CID_45006128",6
"CID_4543",3
"CID_4601",3
"CID_4624",3
"CID_4626",7
"CID_4634",4
"CID_4688",3
"CID_475318",4
"CID_475319",4
"CID_4756",2
"CID_4761",3
"CID_47811",4
"CID_4829",3
"CID_4868",4
"CID_4886",5
"CID_4906",3
"CID_4910",3
"CID_4914",2
"CID_4919",4
"CID_4923",5
"CID_4926",5
"CID_4934",3
"CID_4935",3
"CID_4946",3
"CID_4976",3
"CID_4991",3
"CID_5053503",21
"CID_5071",12
"CID_5078",11
"CID_51081",4
"CID_5202",3
"CID_5253",3
"CID_5280440",6
"CID_5280489",6
"CID_5280569",3
"CID_5281612",3
"CID_5282242",4
"CID_5318",5
"CID_53276",2
"CID_5353792",5
"CID_5403",3
"CID_5411",3
"CID_5419",5
"CID_5467",3
"CID_54680690",6
"CID_5480431",6
"CID_54892",4
"CID_5493444",3
"CID_5504",3
"CID_5508",3
"CID_5511",3
"CID_5530",3
"CID_5533",5
"CID_5568",5
"CID_5572",4
"CID_5573",3
"CID_5574",3
"CID_5577",3
"CID_5584",5
"CID_5587",3
"CID_5709",11
"CID_5852",16
"CID_5906",3
"CID_5961",16
"CID_6041",3
"CID_6058",9
"CID_6112",16
"CID_6274",16
"CID_640429",4
"CID_641385",4
"CID_6426739",4
"CID_6426741",1
"CID_643606",4
"CID_644160",8
"CID_656580",3
"CID_6603",15
"CID_6726",5
"CID_6834",3
"CID_6857777",4
"CID_68591",1
"CID_688570",3
"CID_7048634",4
"CID_71077",16
"CID_71567",16
"CID_738",16
"CID_85",10
"CID_8574",2
"CID_87691",8
"CID_9649",4
"CID_9651",4
"CID_9777579",4
"CID_11082",7
"CID_115163",4
"CID_115368",5
"CID_119584",1
"CID_13200033",4
"CID_152946",4
"CID_17507",3
"CID_175805",4
"CID_20824",4
"CID_2099",5
"CID_22526",3
"CID_2310",6
"CID_2326",3
"CID_23897",4
"CID_24771777",5
"CID_24776140",6
"CID_25749227",5
"CID_2583",3
"CID_26533",4
"CID_3001028",6
"CID_3034756",3
"CID_305",10
"CID_30699",4
"CID_3156",4
"CID_31703",4
"CID_32170",3
"CID_3354",4
